股票代码,股票名称,交易日期,开盘价 ,收盘价,涨跌,涨幅,最低价,最高价,成交量,成交额,换手率
600257,大湖股份,2019-10-11,4.23,4.25,0.02,0.47%,4.19,4.27,24279,1028.24,0.57%
600257,大湖股份,2019-10-10,4.18,4.23,0.04,0.95%,4.16,4.23,18982,797.93,0.44%
600257,大湖股份,2019-10-09,4.13,4.19,0.06,1.45%,4.08,4.19,19267,798.32,0.45%
600257,大湖股份,2019-10-08,4.12,4.13,0.01,0.24%,4.12,4.17,14385,595.94,0.34%
600257,大湖股份,2019-09-30,4.13,4.12,-0.01,-0.24%,4.11,4.18,18712,775.39,0.44%
600257,大湖股份,2019-09-27,4.08,4.13,0.06,1.47%,4.08,4.18,25249,1044.23,0.59%
600257,大湖股份,2019-09-26,4.24,4.07,-0.12,-2.86%,4.06,4.24,43304,1789.98,1.01%
600257,大湖股份,2019-09-25,4.25,4.19,-0.13,-3.01%,4.16,4.29,42403,1795.15,0.99%
600257,大湖股份,2019-09-24,4.33,4.32,0.00,0.00%,4.26,4.39,41570,1797.63,0.97%
600257,大湖股份,2019-09-23,4.37,4.32,-0.05,-1.14%,4.27,4.38,30387,1306.58,0.71%
600257,大湖股份,2019-09-20,4.41,4.37,-0.04,-0.91%,4.36,4.43,27455,1207.58,0.64%
600257,大湖股份,2019-09-19,4.38,4.41,0.06,1.38%,4.32,4.42,43016,1881.63,1.01%
600257,大湖股份,2019-09-18,4.37,4.35,-0.04,-0.91%,4.34,4.42,41053,1799.33,0.96%
600257,大湖股份,2019-09-17,4.51,4.39,-0.09,-2.01%,4.35,4.51,50857,2242.01,1.19%
600257,大湖股份,2019-09-16,4.51,4.48,-0.01,-0.22%,4.48,4.54,37167,1675.53,0.87%
600257,大湖股份,2019-09-12,4.50,4.49,0.00,0.00%,4.47,4.53,28901,1301.11,0.68%
600257,大湖股份,2019-09-11,4.54,4.49,-0.04,-0.88%,4.49,4.56,48592,2194.82,1.14%
600257,大湖股份,2019-09-10,4.50,4.53,0.05,1.12%,4.47,4.57,72679,3287.48,1.70%
600257,大湖股份,2019-09-09,4.49,4.48,0.03,0.67%,4.45,4.49,74355,3322.69,1.74%
600257,大湖股份,2019-09-06,4.45,4.45,0.00,0.00%,4.42,4.50,47394,2108.16,1.11%
600257,大湖股份,2019-09-05,4.45,4.45,0.02,0.45%,4.42,4.67,78780,3550.99,1.84%
600257,大湖股份,2019-09-04,4.39,4.43,0.04,0.91%,4.35,4.43,33006,1453.45,0.77%
600257,大湖股份,2019-09-03,4.37,4.39,0.07,1.62%,4.34,4.46,43328,1907.60,1.01%
600257,大湖股份,2019-09-02,4.24,4.32,0.08,1.89%,4.23,4.35,32209,1388.55,0.75%
600257,大湖股份,2019-08-30,4.41,4.24,-0.15,-3.42%,4.23,4.41,47086,2034.53,1.10%
600257,大湖股份,2019-08-29,4.46,4.39,-0.07,-1.57%,4.39,4.47,39950,1763.66,0.94%
600257,大湖股份,2019-08-28,4.35,4.46,0.13,3.00%,4.32,4.48,64911,2865.85,1.52%
600257,大湖股份,2019-08-27,4.28,4.33,0.07,1.64%,4.24,4.35,37411,1615.84,0.88%
600257,大湖股份,2019-08-26,4.25,4.26,-0.01,-0.23%,4.21,4.30,24280,1031.11,0.57%
600257,大湖股份,2019-08-23,4.29,4.27,-0.01,-0.23%,4.24,4.30,25592,1093.18,0.60%
600257,大湖股份,2019-08-22,4.25,4.28,0.03,0.71%,4.23,4.30,25528,1088.96,0.60%
